point_id,capture_mode,timestamp_fp_ms,timestamp_unity_ms,timestamp_diff_ms,raw_fp_x,raw_fp_y,raw_fp_z,raw_fp_qx,raw_fp_qy,raw_fp_qz,raw_fp_qw,raw_unity_x,raw_unity_y,raw_unity_z,raw_unity_qx,raw_unity_qy,raw_unity_qz,raw_unity_qw,used_fp_x,used_fp_y,used_fp_z,used_fp_qx,used_fp_qy,used_fp_qz,used_fp_qw,used_unity_x,used_unity_y,used_unity_z,used_unity_qx,used_unity_qy,used_unity_qz,used_unity_qw
202,continuous_interpolated,1.75563E+12,1.75563E+12,102,0.057550446,-0.141861549,0.6169178833740726,-0.362426405,-0.311299475,-0.533081636,0.6982576224049662,-0.423536032,0.6339758,0.182099581,0.3471002,0.033848494,-0.053189457,0.935706556,-0.057550445,-0.616917908,-0.141861543,0.5330816507339478,-0.3624264,0.6982576251029968,0.31129947304725647,-0.436025858,0.6324154138565063,0.18110808730125427,0.34569263458251953,0.023641586303710938,-0.050822705,0.9366722106933594
203,continuous_interpolated,1.75563E+12,1.75563E+12,50,0.040300642,-0.141181135,0.6181848442464376,-0.375128217,-0.325159068,-0.529280928,0.6880494900562584,-0.4200546,0.633467,0.181885973,0.347020537,0.035000116,-0.05493416,0.9355929,-0.040300641,-0.618184865,-0.141181141,0.5292809009552002,-0.37512821,0.6880494952201843,0.32515907287597656,-0.422240466,0.6340569257736206,0.18204979598522186,0.3458036780357361,0.033677433,-0.053572852,0.936170757
204,continuous_interpolated,1.75563E+12,1.75563E+12,6,0.040300642,-0.141181135,0.6181848442464376,-0.375128217,-0.325159068,-0.529280928,0.6880494900562584,-0.416726738,0.633047163,0.181714848,0.3487995,0.03663817,-0.057020538,0.934743464,-0.040300641,-0.618184865,-0.141181141,0.5292809009552002,-0.37512821,0.6880494952201843,0.32515907287597656,-0.422240466,0.6340569257736206,0.18204979598522186,0.3458036780357361,0.033677433,-0.053572852,0.936170757
205,continuous_interpolated,1.75563E+12,1.75563E+12,89,0.040300642,-0.141181135,0.6181848442464376,-0.375128217,-0.325159068,-0.529280928,0.6880494900562584,-0.410724342,0.633492768,0.181107029,0.3482878,0.041550785,-0.05831649,0.9346488,-0.040300641,-0.618184865,-0.141181141,0.5292809009552002,-0.37512821,0.6880494952201843,0.32515907287597656,-0.422240466,0.6340569257736206,0.18204979598522186,0.3458036780357361,0.033677433,-0.053572852,0.936170757
206,continuous_interpolated,1.75563E+12,1.75563E+12,58,0.024470830434240885,-0.141035333,0.6154690999407993,-0.407399987,-0.358765548,-0.508190675,0.6686215442631687,-0.407237172,0.63381654,0.180787653,0.348599583,0.04266289,-0.05452718,0.9347113,-0.02447083,-0.615469098,-0.141035333,0.5081906914710999,-0.407399982,0.6686215400695801,0.35876554250717163,-0.409130245,0.6337356567382812,0.18098732829093933,0.34923917055130005,0.042319655418395996,-0.05361145,0.9345410466194153
207,continuous_interpolated,1.75563E+12,1.75563E+12,3,0.024470830434240885,-0.141035333,0.6154690999407993,-0.407399987,-0.358765548,-0.508190675,0.6686215442631687,-0.403559119,0.633446336,0.180579245,0.348855942,0.044437762,-0.05487421,0.9345125,-0.02447083,-0.615469098,-0.141035333,0.5081906914710999,-0.407399982,0.6686215400695801,0.35876554250717163,-0.409130245,0.6337356567382812,0.18098732829093933,0.34923917055130005,0.042319655418395996,-0.05361145,0.9345410466194153
208,continuous_interpolated,1.75563E+12,1.75563E+12,81,0.024470830434240885,-0.141035333,0.6154690999407993,-0.407399987,-0.358765548,-0.508190675,0.6686215442631687,-0.398787677,0.633120656,0.180641934,0.348799229,0.044855658,-0.055999342,0.934447,-0.02447083,-0.615469098,-0.141035333,0.5081906914710999,-0.407399982,0.6686215400695801,0.35876554250717163,-0.409130245,0.6337356567382812,0.18098732829093933,0.34923917055130005,0.042319655418395996,-0.05361145,0.9345410466194153
209,continuous_interpolated,1.75563E+12,1.75563E+12,8,0.010133473,-0.143502977,0.6139653945527455,-0.395225883,-0.371193881,-0.517506406,0.6619658033347353,-0.392531246,0.6329804,0.180703431,0.351544082,0.046095997,-0.05697874,0.9332981,-0.010133473,-0.613965392,-0.14350298,0.5175064206123352,-0.395225883,0.6619657874107361,0.37119388580322266,-0.397031307,0.6329396367073059,0.18055032193660736,0.3512822091579437,0.046533167362213135,-0.055253446,0.9334787726402283
210,continuous_interpolated,1.75563E+12,1.75563E+12,91,0.010133473,-0.143502977,0.6139653945527455,-0.395225883,-0.371193881,-0.517506406,0.6619658033347353,-0.386979133,0.6339584,0.180943444,0.35212037,0.04924637,-0.06053009,0.9326962,-0.010133473,-0.613965392,-0.14350298,0.5175064206123352,-0.395225883,0.6619657874107361,0.37119388580322266,-0.397031307,0.6329396367073059,0.18055032193660736,0.3512822091579437,0.046533167362213135,-0.055253446,0.9334787726402283
211,continuous_interpolated,1.75563E+12,1.75563E+12,48,-0.000951353,-0.1476536,0.61752821,-0.385241287,-0.365927369,-0.509390484,0.6769103683052662,-0.3837981,0.6357516,0.181112811,0.3499968,0.050124914,-0.06030269,0.9334631,0.000951353,-0.6175282,-0.147653595,0.5093904733657837,-0.3852413,0.6769103407859802,0.3659273684024811,-0.385385931,0.6350142955780029,0.1810464709997177,0.3506014347076416,0.04974094,-0.059207194,0.9333268404006958
212,continuous_interpolated,1.75563E+12,1.75563E+12,63,-0.000951353,-0.1476536,0.61752821,-0.385241287,-0.365927369,-0.509390484,0.6769103683052662,-0.377772361,0.63819474,0.18081449,0.3485122,0.05220446,-0.061764546,0.933809,0.000951353,-0.6175282,-0.147653595,0.5093904733657837,-0.3852413,0.6769103407859802,0.3659273684024811,-0.385385931,0.6350142955780029,0.1810464709997177,0.3506014347076416,0.04974094,-0.059207194,0.9333268404006958
213,continuous_interpolated,1.75563E+12,1.75563E+12,63,-0.010656604,-0.149869529,0.6188167387662151,-0.355167836,-0.368387442,-0.508112297,0.6927975133543249,-0.3751248,0.638703942,0.180776045,0.3474976,0.05163145,-0.0626321,0.934161067,0.010656604,-0.618816733,-0.149869531,0.5081123113632202,-0.355167836,0.6927975416183472,0.3683874309062958,-0.375124812,0.6387039422988892,0.18077604472637177,0.3474976122379303,0.051631451,-0.062632099,0.9341610670089722
