arrangement,method,mean_position_error,mean_angular_error,combined_error,max_position_error,max_angular_error,order,signs
"[qx,qy,qz,qw]_signs-,-,-,-",Linear Transform,0.020581519873897242,137.8653706969384,13.80711858956774,0.0782562721203944,172.9775291897283,"[0, 1, 2, 3]","[-1, -1, -1, -1]"
"[qx,qy,qz,qw]_signs-,-,-,-",Rigid Body,0.021069135446185345,138.23956125451153,13.845025260897339,0.09149870701352138,172.01982688379223,"[0, 1, 2, 3]","[-1, -1, -1, -1]"
"[qx,qy,qz,qw]_signs-,-,-,-",Random Forest,0.003887984375237303,1.9590252965162915,0.19979051402686646,0.017599162726285318,12.905832885155212,"[0, 1, 2, 3]","[-1, -1, -1, -1]"
"[qx,qy,qz,qw]_signs-,-,-,+",Linear Transform,0.020581519873897242,144.99664716982693,14.52024623685659,0.0782562721203944,179.64027105511718,"[0, 1, 2, 3]","[-1, -1, -1, 1]"
"[qx,qy,qz,qw]_signs-,-,-,+",Rigid Body,0.021069135446185345,144.21818735094868,14.442887870541053,0.09149870701352138,179.73865781057293,"[0, 1, 2, 3]","[-1, -1, -1, 1]"
"[qx,qy,qz,qw]_signs-,-,-,+",Random Forest,0.0038696997490135867,1.9685435842100891,0.2007240581700225,0.017874619603565026,13.360017498558575,"[0, 1, 2, 3]","[-1, -1, -1, 1]"
"[qx,qy,qz,qw]_signs-,-,+,-",Linear Transform,0.020581519873897242,121.08656318685054,12.129237838558952,0.0782562721203944,179.89885228652832,"[0, 1, 2, 3]","[-1, -1, 1, -1]"
"[qx,qy,qz,qw]_signs-,-,+,-",Rigid Body,0.021069135446185345,121.05911691152185,12.126980826598372,0.09149870701352138,179.5378466163713,"[0, 1, 2, 3]","[-1, -1, 1, -1]"
"[qx,qy,qz,qw]_signs-,-,+,-",Random Forest,0.0038612135359250553,1.9596653118068281,0.19982774471660789,0.017744775165885514,13.255054534982994,"[0, 1, 2, 3]","[-1, -1, 1, -1]"
"[qx,qy,qz,qw]_signs-,-,+,+",Linear Transform,0.020581519873897242,166.09414258136167,16.629995778010063,0.0782562721203944,179.87984055970003,"[0, 1, 2, 3]","[-1, -1, 1, 1]"
"[qx,qy,qz,qw]_signs-,-,+,+",Rigid Body,0.021069135446185345,165.89095870911441,16.61016500635763,0.09149870701352138,179.8955337855845,"[0, 1, 2, 3]","[-1, -1, 1, 1]"
"[qx,qy,qz,qw]_signs-,-,+,+",Random Forest,0.0038620479187291387,1.96116865797386,0.19997891371611515,0.01804876083714932,12.807729881073474,"[0, 1, 2, 3]","[-1, -1, 1, 1]"
"[qx,qy,qz,qw]_signs-,+,-,-",Linear Transform,0.020581519873897242,148.3407880042123,14.854660320295128,0.0782562721203944,179.49180602652186,"[0, 1, 2, 3]","[-1, 1, -1, -1]"
"[qx,qy,qz,qw]_signs-,+,-,-",Rigid Body,0.021069135446185345,148.16710585592375,14.83777972103856,0.09149870701352138,179.64807006628888,"[0, 1, 2, 3]","[-1, 1, -1, -1]"
"[qx,qy,qz,qw]_signs-,+,-,-",Random Forest,0.003919028839508452,1.9665177657277093,0.2005708054122794,0.01813079264660531,14.286366114570464,"[0, 1, 2, 3]","[-1, 1, -1, -1]"
"[qx,qy,qz,qw]_signs-,+,-,+",Linear Transform,0.020581519873897242,145.9812278264791,14.61870430252181,0.0782562721203944,179.63388489386782,"[0, 1, 2, 3]","[-1, 1, -1, 1]"
"[qx,qy,qz,qw]_signs-,+,-,+",Rigid Body,0.021069135446185345,145.75025923568626,14.59609505901481,0.09149870701352138,179.47198059280652,"[0, 1, 2, 3]","[-1, 1, -1, 1]"
"[qx,qy,qz,qw]_signs-,+,-,+",Random Forest,0.0038856369941778044,1.962193711115574,0.2001050081057352,0.018378851643280316,13.257642100188994,"[0, 1, 2, 3]","[-1, 1, -1, 1]"
"[qx,qy,qz,qw]_signs-,+,+,-",Linear Transform,0.020581519873897242,124.1871600309069,12.439297522964587,0.0782562721203944,179.53058378048036,"[0, 1, 2, 3]","[-1, 1, 1, -1]"
"[qx,qy,qz,qw]_signs-,+,+,-",Rigid Body,0.021069135446185345,123.56574412601843,12.37764354804803,0.09149870701352138,179.44483351418089,"[0, 1, 2, 3]","[-1, 1, 1, -1]"
"[qx,qy,qz,qw]_signs-,+,+,-",Random Forest,0.003876006057595053,1.961183802054152,0.19999438626301028,0.018457825119342505,13.802084129580322,"[0, 1, 2, 3]","[-1, 1, 1, -1]"
"[qx,qy,qz,qw]_signs-,+,+,+",Linear Transform,0.020581519873897242,161.4705452802469,16.16763604789859,0.0782562721203944,179.58763367428224,"[0, 1, 2, 3]","[-1, 1, 1, 1]"
"[qx,qy,qz,qw]_signs-,+,+,+",Rigid Body,0.021069135446185345,162.19925085908068,16.240994221354256,0.09149870701352138,179.5103046371878,"[0, 1, 2, 3]","[-1, 1, 1, 1]"
"[qx,qy,qz,qw]_signs-,+,+,+",Random Forest,0.003873358956089927,1.9712801009595402,0.20100136905204397,0.018525542043127712,13.09744347473275,"[0, 1, 2, 3]","[-1, 1, 1, 1]"
"[qx,qy,qz,qw]_signs+,-,-,-",Linear Transform,0.020581519873897242,161.4705452802469,16.16763604789859,0.0782562721203944,179.58763367428224,"[0, 1, 2, 3]","[1, -1, -1, -1]"
"[qx,qy,qz,qw]_signs+,-,-,-",Rigid Body,0.021069135446185345,162.19925085908068,16.240994221354256,0.09149870701352138,179.5103046371878,"[0, 1, 2, 3]","[1, -1, -1, -1]"
