point_id,capture_mode,timestamp_fp_ms,timestamp_unity_ms,timestamp_diff_ms,raw_fp_x,raw_fp_y,raw_fp_z,raw_fp_qx,raw_fp_qy,raw_fp_qz,raw_fp_qw,raw_unity_x,raw_unity_y,raw_unity_z,raw_unity_qx,raw_unity_qy,raw_unity_qz,raw_unity_qw,used_fp_x,used_fp_y,used_fp_z,used_fp_qx,used_fp_qy,used_fp_qz,used_fp_qw,used_unity_x,used_unity_y,used_unity_z,used_unity_qx,used_unity_qy,used_unity_qz,used_unity_qw
560,continuous_interpolated,1755630000000.0,1755630000000.0,3,-0.008809499,-0.038920493,0.4594570011700786,0.846780978,0.3614811722049292,-0.321392219,0.2213602932199681,-0.4418833,0.7557834,0.3333818,0.152797386,-0.235367686,-0.956803262,0.0760433,0.008809499,-0.45945701,-0.038920492,0.3213922083377838,0.8467809557914734,0.221360296010971,-0.36148116,-0.441681445,0.7506046891212463,0.3332022428512573,0.1544870287179947,-0.232342809,-0.957010806,0.079252824
561,continuous_interpolated,1755630000000.0,1755630000000.0,87,-0.008809499,-0.038920493,0.4594570011700786,0.846780978,0.3614811722049292,-0.321392219,0.2213602932199681,-0.441141039,0.7608732,0.333494484,0.151027858,-0.2378625,-0.956486762,0.07579679,0.008809499,-0.45945701,-0.038920492,0.3213922083377838,0.8467809557914734,0.221360296010971,-0.36148116,-0.441681445,0.7506046891212463,0.3332022428512573,0.1544870287179947,-0.232342809,-0.957010806,0.079252824
562,continuous_interpolated,1755630000000.0,1755630000000.0,1,-0.010297044,-0.042543738,0.4471464987660241,0.8689348687062216,0.3253824906932208,-0.326088855,0.1809543788948159,-0.440676033,0.766576,0.3344686,0.147498548,-0.241007641,-0.9566195,0.07098383,0.0102970441803336,-0.447146505,-0.042543739,0.3260888457298279,0.8689348697662354,0.1809543818235397,-0.325382501,-0.440934509,0.7626137733459473,0.3335885405540466,0.1510476768016815,-0.239486799,-0.956150949,0.074873962
563,continuous_interpolated,1755630000000.0,1755630000000.0,57,-0.010297044,-0.042543738,0.4471464987660241,0.8689348687062216,0.3253824906932208,-0.326088855,0.1809543788948159,-0.4404325,0.7682669,0.335064679,0.148358867,-0.242534548,-0.956006944,0.07223165,0.0102970441803336,-0.447146505,-0.042543739,0.3260888457298279,0.8689348697662354,0.1809543818235397,-0.325382501,-0.440934509,0.7626137733459473,0.3335885405540466,0.1510476768016815,-0.239486799,-0.956150949,0.074873962
564,continuous_interpolated,1755630000000.0,1755630000000.0,85,-0.010297044,-0.042543738,0.4471464987660241,0.8689348687062216,0.3253824906932208,-0.326088855,0.1809543788948159,-0.43987295,0.7693464,0.335203379,0.1460792,-0.243085459,-0.956284046,0.07135217,0.0102970441803336,-0.447146505,-0.042543739,0.3260888457298279,0.8689348697662354,0.1809543818235397,-0.325382501,-0.440934509,0.7626137733459473,0.3335885405540466,0.1510476768016815,-0.239486799,-0.956150949,0.074873962
565,continuous_interpolated,1755630000000.0,1755630000000.0,16,-0.010942105,-0.047154125,0.4419527782038463,0.8568389564046834,0.341092370505745,-0.332017343,0.1981097711281714,-0.439794958,0.7733935,0.335694373,0.145397455,-0.245114356,-0.9560284,0.06919727,0.0109421052038669,-0.441952765,-0.047154125,0.3320173323154449,0.8568389415740967,0.1981097757816314,-0.341092378,-0.43987295,0.7693464159965515,0.3352033793926239,0.1460791975259781,-0.243085459,-0.956284046,0.071352169
566,continuous_interpolated,1755630000000.0,1755630000000.0,43,-0.010942105,-0.047154125,0.4419527782038463,0.8568389564046834,0.341092370505745,-0.332017343,0.1981097711281714,-0.439589351,0.7753165,0.335640758,0.145475,-0.246651515,-0.9557533,0.06734737,0.0109421052038669,-0.441952765,-0.047154125,0.3320173323154449,0.8568389415740967,0.1981097757816314,-0.341092378,-0.43987295,0.7693464159965515,0.3352033793926239,0.1460791975259781,-0.243085459,-0.956284046,0.071352169
567,continuous_interpolated,1755630000000.0,1755630000000.0,51,-0.01351801,-0.053478911,0.4318511651665398,0.8455719718007875,0.3586909307963931,-0.313276747,0.2412603079800984,-0.439400971,0.779379368,0.335701376,0.144799843,-0.250088483,-0.954933,0.067763075,0.0135180102661252,-0.431851178,-0.053478912,0.3132767379283905,0.8455719947814941,0.2412603050470352,-0.358690917,-0.439538211,0.7785555720329285,0.3356464207172394,0.1448777019977569,-0.248937786,-0.955195546,0.068132102
568,continuous_interpolated,1755630000000.0,1755630000000.0,59,-0.01351801,-0.053478911,0.4318511651665398,0.8455719718007875,0.3586909307963931,-0.313276747,0.2412603079800984,-0.4384604,0.780084848,0.335938632,0.143169537,-0.250498563,-0.954641163,0.07357495,0.0135180102661252,-0.431851178,-0.053478912,0.3132767379283905,0.8455719947814941,0.2412603050470352,-0.358690917,-0.439538211,0.7785555720329285,0.3356464207172394,0.1448777019977569,-0.248937786,-0.955195546,0.068132102
569,continuous_interpolated,1755630000000.0,1755630000000.0,57,-0.015644289,-0.055934407,0.4215489080366503,0.8560371296168771,0.3281469726333474,-0.341494641,0.2071265495578863,-0.436519116,0.777892768,0.3361902,0.143662855,-0.24768272,-0.953608751,0.0929763,0.0156442895531654,-0.421548903,-0.055934407,0.3414946496486664,0.8560371398925781,0.2071265429258346,-0.328146964,-0.437020957,0.778299093,0.3361068964004516,0.1479313671588897,-0.248723924,-0.95302999,0.089367896
570,continuous_interpolated,1755630000000.0,1755630000000.0,26,-0.015644289,-0.055934407,0.4215489080366503,0.8560371296168771,0.3281469726333474,-0.341494641,0.2071265495578863,-0.4355765,0.7754142,0.336593717,0.1491515,-0.2460674,-0.9517263,0.10687241,0.0156442895531654,-0.421548903,-0.055934407,0.3414946496486664,0.8560371398925781,0.2071265429258346,-0.328146964,-0.437020957,0.778299093,0.3361068964004516,0.1479313671588897,-0.248723924,-0.95302999,0.089367896
571,continuous_interpolated,1755630000000.0,1755630000000.0,75,-0.017458603,-0.060704079,0.4152023385193616,0.8531426201267338,0.3334839830748656,-0.338259149,0.2156776552625292,-0.435450047,0.773718357,0.3368706,0.156048015,-0.24607718,-0.948795438,0.121992923,0.0174586027860641,-0.415202349,-0.060704079,0.3382591605186462,0.8531426191329956,0.2156776487827301,-0.333483994,-0.435450047,0.7737183570861816,0.3368706107139587,0.1560480147600174,-0.24607718,-0.948795438,0.1219929233193397
572,continuous_interpolated,1755630000000.0,1755630000000.0,37,-0.017458603,-0.060704079,0.4152023385193616,0.8531426201267338,0.3334839830748656,-0.338259149,0.2156776552625292,-0.4326352,0.770702064,0.338061541,0.169856042,-0.237278923,-0.9355529,0.198968455,0.0174586027860641,-0.415202349,-0.060704079,0.3382591605186462,0.8531426191329956,0.2156776487827301,-0.333483994,-0.435450047,0.7737183570861816,0.3368706107139587,0.1560480147600174,-0.24607718,-0.948795438,0.1219929233193397
573,continuous_interpolated,1755630000000.0,1755630000000.0,78,-0.019052591,-0.062243787,0.4124056060017281,0.8566328721332479,0.3275897040497214,-0.340836893,0.2066284595155771,-0.433396816,0.7694836,0.338689566,0.180007353,-0.234913319,-0.925476432,0.236445278,0.0190525911748409,-0.41240561,-0.062243786,0.3408368825912475,0.8566328883171082,0.2066284567117691,-0.327589691,-0.433396816,0.7694836258888245,0.3386895656585693,0.1800073534250259,-0.234913319,-0.925476432,0.236445277929306
574,continuous_interpolated,1755630000000.0,1755630000000.0,22,-0.019052591,-0.062243787,0.4124056060017281,0.8566328721332479,0.3275897040497214,-0.340836893,0.2066284595155771,-0.432947844,0.7686633,0.3395903,0.178027555,-0.229994953,-0.916347,0.275166422,0.0190525911748409,-0.41240561,-0.062243786,0.3408368825912475,0.8566328883171082,0.2066284567117691,-0.327589691,-0.433396816,0.7694836258888245,0.3386895656585693,0.1800073534250259,-0.234913319,-0.925476432,0.236445277929306
575,continuous_interpolated,1755630000000.0,1755630000000.0,61,-0.019052591,-0.062243787,0.4124056060017281,0.8566328721332479,0.3275897040497214,-0.340836893,0.2066284595155771,-0.431167662,0.7679966,0.340483367,0.193768889,-0.220553845,-0.8928957,0.3413897,0.0190525911748409,-0.41240561,-0.062243786,0.3408368825912475,0.8566328883171082,0.2066284567117691,-0.327589691,-0.433396816,0.7694836258888245,0.3386895656585693,0.1800073534250259,-0.234913319,-0.925476432,0.236445277929306
576,continuous_interpolated,1755630000000.0,1755630000000.0,89,-0.022465156,-0.060446129,0.4169295286757937,0.8642679150917085,0.351358004,-0.30871856,0.1851523009760513,-0.4343018,0.7682782,0.341573954,0.201813683,-0.221103415,-0.8860919,0.3538726,0.022465156391263,-0.416929543,-0.060446128,0.3087185621261596,0.864267886,0.1851523071527481,-0.351357996,-0.434301794,0.768278182,0.34157395362854,0.2018136829137802,-0.221103415,-0.886091888,0.3538725972175598
577,continuous_interpolated,1755630000000.0,1755630000000.0,33,-0.022465156,-0.060446129,0.4169295286757937,0.8642679150917085,0.351358004,-0.30871856,0.1851523009760513,-0.43306008,0.769243538,0.342444628,0.209575772,-0.213724166,-0.8622513,0.408561677,0.022465156391263,-0.416929543,-0.060446128,0.3087185621261596,0.864267886,0.1851523071527481,-0.351357996,-0.434301794,0.768278182,0.34157395362854,0.2018136829137802,-0.221103415,-0.886091888,0.3538725972175598
578,continuous_interpolated,1755630000000.0,1755630000000.0,78,-0.022465156,-0.060446129,0.4169295286757937,0.8642679150917085,0.351358004,-0.30871856,0.1851523009760513,-0.434072077,0.7722805,0.343287081,0.22276929,-0.201637775,-0.8204365,0.486415565,0.022465156391263,-0.416929543,-0.060446128,0.3087185621261596,0.864267886,0.1851523071527481,-0.351357996,-0.434301794,0.768278182,0.34157395362854,0.2018136829137802,-0.221103415,-0.886091888,0.3538725972175598
579,continuous_interpolated,1755630000000.0,1755630000000.0,63,-0.026641583,-0.056097086,0.4222367852720274,0.902078457,0.3527458480942345,-0.228545171,0.097938398,-0.437944382,0.773333967,0.343511581,0.231610745,-0.205381811,-0.80176276,0.5112253,0.026641583,-0.42223677,-0.056097087,0.2285451740026474,0.9020784497261048,0.097938396,-0.352745861,-0.436033249,0.7735667824745178,0.3436000943183899,0.2248542010784149,-0.205097631,-0.80878222,0.5032364130020142
580,continuous_interpolated,1755630000000.0,1755630000000.0,20,-0.026641583,-0.056097086,0.4222367852720274,0.902078457,0.3527458480942345,-0.228545171,0.097938398,-0.437920034,0.77395767,0.3445042,0.242318451,-0.189108133,-0.755378,0.578726232,0.026641583,-0.42223677,-0.056097087,0.2285451740026474,0.9020784497261048,0.097938396,-0.352745861,-0.436033249,0.7735667824745178,0.3436000943183899,0.2248542010784149,-0.205097631,-0.80878222,0.5032364130020142
581,continuous_interpolated,1755630000000.0,1755630000000.0,59,-0.030604095,-0.054906193,0.4247286487662509,0.9190296936489876,0.3647832691340494,-0.148285139,-0.018141285,-0.436995178,0.7734645,0.345859766,0.2505092,-0.169566333,-0.711379468,0.6343751,0.030604094,-0.424728662,-0.054906193,0.1482851356267929,0.919029713,-0.018141285,-0.364783257,-0.437281311,0.7735059261322021,0.3455455899238586,0.250041664,-0.176199749,-0.723470032,0.6188893914222717
582,continuous_interpolated,1755630000000.0,1755630000000.0,25,-0.030604095,-0.054906193,0.4247286487662509,0.9190296936489876,0.3647832691340494,-0.148285139,-0.018141285,-0.435530573,0.7740866,0.346497357,0.25445208,-0.154985309,-0.6778385,0.672137439,0.030604094,-0.424728662,-0.054906193,0.1482851356267929,0.919029713,-0.018141285,-0.364783257,-0.437281311,0.7735059261322021,0.3455455899238586,0.250041664,-0.176199749,-0.723470032,0.6188893914222717
583,continuous_interpolated,1755630000000.0,1755630000000.0,76,-0.031447974,-0.057189677,0.4193870499808247,0.9181560596774156,0.3807904285785425,-0.071336643,-0.083061321,-0.433000952,0.7758739,0.346386373,0.25974676,-0.130430251,-0.624266565,0.7251282,0.031447973,-0.419387043,-0.057189677,0.071336642,0.918156087,-0.083061323,-0.380790442,-0.433000952,0.7758738994598389,0.3463863730430603,0.2597467601299286,-0.130430251,-0.624266565,0.725128174
584,continuous_interpolated,1755630000000.0,1755630000000.0,7,-0.031447974,-0.057189677,0.4193870499808247,0.9181560596774156,0.3807904285785425,-0.071336643,-0.083061321,-0.4317474,0.7780466,0.345970035,0.25943315,-0.11166326,-0.5808971,0.763403237,0.031447973,-0.419387043,-0.057189677,0.071336642,0.918156087,-0.083061323,-0.380790442,-0.433000952,0.7758738994598389,0.3463863730430603,0.2597467601299286,-0.130430251,-0.624266565,0.725128174
585,continuous_interpolated,1755630000000.0,1755630000000.0,91,-0.031447974,-0.057189677,0.4193870499808247,0.9181560596774156,0.3807904285785425,-0.071336643,-0.083061321,-0.4300007,0.779427052,0.345223665,0.260562122,-0.087611064,-0.532520533,0.800533354,0.031447973,-0.419387043,-0.057189677,0.071336642,0.918156087,-0.083061323,-0.380790442,-0.433000952,0.7758738994598389,0.3463863730430603,0.2597467601299286,-0.130430251,-0.624266565,0.725128174
586,continuous_interpolated,1755630000000.0,1755630000000.0,66,-0.026162064,-0.059809633,0.4152053847992665,0.8608456728892279,0.4659034356841879,0.041619771,-0.200365942,-0.429387748,0.779714,0.344692051,0.260807544,-0.079357155,-0.5162806,0.811872,0.026162064,-0.415205389,-0.059809633,-0.04161977,0.860845685,-0.200365946,-0.465903431,-0.429387748,0.7797139883041382,0.344692051410675,0.2608075439929962,-0.079357155,-0.516280591,0.8118720054626465
587,continuous_interpolated,1755630000000.0,1755630000000.0,45,-0.026162064,-0.059809633,0.4152053847992665,0.8608456728892279,0.4659034356841879,0.041619771,-0.200365942,-0.428986371,0.7794071,0.344096154,0.255294621,-0.05527985,-0.459261656,0.8490274,0.026162064,-0.415205389,-0.059809633,-0.04161977,0.860845685,-0.200365946,-0.465903431,-0.429387748,0.7797139883041382,0.344692051410675,0.2608075439929962,-0.079357155,-0.516280591,0.8118720054626465
588,continuous_interpolated,1755630000000.0,1755630000000.0,73,-0.026162064,-0.059809633,0.4152053847992665,0.8608456728892279,0.4659034356841879,0.041619771,-0.200365942,-0.429266155,0.7795002,0.343853563,0.252882034,-0.05213577,-0.447797328,0.856043339,0.026162064,-0.415205389,-0.059809633,-0.04161977,0.860845685,-0.200365946,-0.465903431,-0.429387748,0.7797139883041382,0.344692051410675,0.2608075439929962,-0.079357155,-0.516280591,0.8118720054626465
